RPM,Torque,V(speed),Thrust
,(N-m),(m/s),(N)
1000,0.003,0,0.016020408
1000,0.003,0.10728,0.015816327
1000,0.003,0.21456,0.015612245
1000,0.003,0.32184,0.015306122
1000,0.003,0.42912,0.015
1000,0.003,0.5364,0.014693878
1000,0.003,0.64368,0.014387755
1000,0.003,0.75096,0.013979592
1000,0.003,0.85824,0.013571429
1000,0.003,0.96552,0.013163265
1000,0.003,1.0728,0.012755102
1000,0.003,1.18008,0.012244898
1000,0.003,1.28736,0.011734694
1000,0.003,1.39464,0.01122449
1000,0.003,1.50192,0.010612245
1000,0.003,1.6092,0.010102041
1000,0.003,1.71648,0.009489796
1000,0.003,1.82376,0.00877551
1000,0.003,1.93104,0.008163265
1000,0.003,2.03832,0.00744898
1000,0.003,2.1456,0.006734694
1000,0.002,2.25288,0.006020408
1000,0.002,2.36016,0.005306122
1000,0.002,2.46744,0.004591837
1000,0.002,2.57472,0.00377551
1000,0.002,2.682,0.003061224
1000,0.002,2.78928,0.002244898
1000,0.002,2.89656,0.001530612
1000,0.002,3.00384,0.000714286
1000,0.001,3.11112,0
2000,0.011,0,0.064489796
2000,0.011,0.2235,0.063571429
2000,0.012,0.44253,0.06244898
2000,0.012,0.66603,0.061326531
2000,0.012,0.88506,0.060102041
2000,0.012,1.10856,0.05877551
2000,0.012,1.33206,0.05744898
2000,0.012,1.55109,0.055816327
2000,0.012,1.77459,0.054183673
2000,0.012,1.99809,0.05244898
2000,0.012,2.21712,0.050612245
2000,0.012,2.44062,0.048571429
2000,0.011,2.65965,0.046428571
2000,0.011,2.88315,0.044183673
2000,0.011,3.10665,0.041836735
2000,0.011,3.32568,0.039285714
2000,0.01,3.54918,0.036734694
2000,0.01,3.77268,0.033979592
2000,0.01,3.99171,0.03122449
2000,0.009,4.21521,0.028367347
2000,0.009,4.43424,0.025408163
2000,0.008,4.65774,0.02244898
2000,0.008,4.88124,0.019387755
2000,0.007,5.10027,0.016326531
2000,0.007,5.32377,0.013163265
2000,0.006,5.5428,0.010102041
2000,0.005,5.7663,0.006938776
2000,0.005,5.9898,0.003877551
2000,0.004,6.20883,0.000816327
2000,,6.43233,0
3000,0.024,0,0.145408163
3000,0.025,0.32631,0.143367347
3000,0.025,0.65262,0.141020408
3000,0.025,0.97446,0.138571429
3000,0.025,1.30077,0.135918367
3000,0.025,1.62708,0.133061224
3000,0.026,1.95339,0.13
3000,0.026,2.2797,0.126632653
3000,0.026,2.60154,0.123061224
3000,0.026,2.92785,0.119183673
3000,0.025,3.25416,0.115102041
3000,0.025,3.58047,0.110816327
3000,0.025,3.90678,0.106122449
3000,0.025,4.23309,0.101326531
3000,0.024,4.55493,0.096122449
3000,0.023,4.88124,0.090714286
3000,0.023,5.20755,0.085102041
3000,0.022,5.53386,0.079183673
3000,0.021,5.86017,0.073163265
3000,0.02,6.18201,0.066836735
3000,0.019,6.50832,0.060510204
3000,0.018,6.83463,0.053979592
3000,0.017,7.16094,0.047346939
3000,0.016,7.48725,0.040612245
3000,0.015,7.80909,0.03377551
3000,0.013,8.1354,0.026938776
3000,0.012,8.46171,0.020204082
3000,0.011,8.78802,0.013367347
3000,0.009,9.11433,0.006734694
3000,0.008,9.43617,0.000102041
4000,0.042,0,0.259081633
4000,0.042,0.43359,0.255408163
4000,0.043,0.87165,0.251326531
4000,0.043,1.30524,0.246938776
4000,0.044,1.73883,0.242244898
4000,0.044,2.17689,0.237040816
4000,0.044,2.61048,0.231530612
4000,0.044,3.04407,0.225612245
4000,0.044,3.48213,0.219183673
4000,0.044,3.91572,0.212346939
4000,0.044,4.34931,0.205102041
4000,0.044,4.78737,0.197346939
4000,0.043,5.22096,0.189081633
4000,0.043,5.65455,0.180306122
4000,0.042,6.09261,0.17122449
4000,0.041,6.5262,0.161530612
4000,0.04,6.95979,0.151428571
4000,0.038,7.39785,0.140918367
4000,0.037,7.83144,0.13
4000,0.035,8.26503,0.118877551
4000,0.033,8.70309,0.10744898
4000,0.031,9.13668,0.095816327
4000,0.029,9.57027,0.083979592
4000,0.027,10.00833,0.071938776
4000,0.025,10.44192,0.059897959
4000,0.022,10.87551,0.047755102
4000,0.02,11.31357,0.035612245
4000,0.017,11.74716,0.023571429
4000,0.014,12.18075,0.011734694
4000,0.012,12.61881,0
5000,0.064,0,0.405714286
5000,0.065,0.54534,0.399897959
5000,0.066,1.09068,0.393571429
5000,0.067,1.63155,0.386734694
5000,0.067,2.17689,0.379285714
5000,0.068,2.72223,0.371326531
5000,0.068,3.26757,0.362653061
5000,0.068,3.81291,0.353367347
5000,0.068,4.35378,0.343367347
5000,0.068,4.89912,0.332653061
5000,0.068,5.44446,0.32122449
5000,0.067,5.9898,0.308979592
5000,0.066,6.53514,0.296122449
5000,0.065,7.07601,0.28244898
5000,0.064,7.62135,0.268061224
5000,0.063,8.16669,0.252959184
5000,0.061,8.71203,0.237040816
5000,0.059,9.25737,0.220612245
5000,0.056,9.79824,0.203571429
5000,0.054,10.34358,0.186122449
5000,0.051,10.88892,0.168163265
5000,0.048,11.43426,0.149897959
5000,0.044,11.9796,0.131428571
5000,0.041,12.52047,0.112653061
5000,0.037,13.06581,0.09377551
5000,0.033,13.61115,0.074795918
5000,0.029,14.15649,0.055816327
5000,0.025,14.70183,0.037040816
5000,0.021,15.2427,0.018367347
5000,0.016,15.78804,0.000102041
6000,0.091,0,0.585612245
6000,0.092,0.65262,0.577244898
6000,0.094,1.30971,0.568163265
6000,0.095,1.96233,0.558265306
6000,0.095,2.61495,0.54755102
6000,0.096,3.27204,0.536020408
6000,0.097,3.92466,0.523469388
6000,0.097,4.58175,0.510102041
6000,0.097,5.23437,0.495612245
6000,0.097,5.88699,0.480204082
6000,0.096,6.54408,0.463673469
6000,0.096,7.1967,0.446020408
6000,0.095,7.84932,0.42744898
6000,0.093,8.50641,0.407653061
6000,0.091,9.15903,0.386836735
6000,0.089,9.81612,0.365
6000,0.086,10.46874,0.342040816
6000,0.083,11.12136,0.318163265
6000,0.08,11.77845,0.293571429
6000,0.076,12.43107,0.268265306
6000,0.072,13.08369,0.24244898
6000,0.068,13.74078,0.216020408
6000,0.063,14.3934,0.189285714
6000,0.058,15.05049,0.162142857
6000,0.052,15.70311,0.134897959
6000,0.047,16.35573,0.10755102
6000,0.041,17.01282,0.080102041
6000,0.035,17.66544,0.052959184
6000,0.028,18.31806,0.026122449
6000,0.022,18.97515,-0.000204082
7000,0.123,0,0.799081633
7000,0.125,0.76437,0.787755102
7000,0.126,1.52874,0.775408163
7000,0.128,2.28864,0.761938776
7000,0.129,3.05301,0.74744898
7000,0.13,3.81738,0.731632653
7000,0.131,4.58175,0.714693878
7000,0.131,5.34612,0.696428571
7000,0.131,6.10602,0.676734694
7000,0.131,6.87039,0.655612245
7000,0.13,7.63476,0.633061224
7000,0.129,8.39913,0.609081633
7000,0.128,9.1635,0.583673469
7000,0.126,9.9234,0.556734694
7000,0.123,10.68777,0.528367347
7000,0.12,11.45214,0.498469388
7000,0.117,12.21651,0.467244898
7000,0.112,12.98088,0.434693878
7000,0.108,13.74078,0.401122449
7000,0.103,14.50515,0.366530612
7000,0.097,15.26952,0.33122449
7000,0.091,16.03389,0.295204082
7000,0.084,16.79379,0.258673469
7000,0.077,17.55816,0.221734694
7000,0.07,18.32253,0.184489796
7000,0.062,19.0869,0.147142857
7000,0.054,19.85127,0.109795918
7000,0.045,20.61117,0.072755102
7000,0.037,21.37554,0.036122449
7000,0.028,22.13991,0.000204082
8000,0.16,0,1.046734694
8000,0.162,0.87165,1.031938776
8000,0.164,1.74777,1.015816327
8000,0.166,2.61942,0.998265306
8000,0.167,3.49107,0.979285714
8000,0.169,4.36719,0.958673469
8000,0.17,5.23884,0.936530612
8000,0.17,6.11049,0.91255102
8000,0.17,6.98661,0.886836735
8000,0.17,7.85826,0.859183673
8000,0.169,8.72991,0.829693878
8000,0.168,9.60603,0.798265306
8000,0.166,10.47768,0.764897959
8000,0.163,11.34933,0.729693878
8000,0.16,12.22098,0.69244898
8000,0.156,13.0971,0.653265306
8000,0.151,13.96875,0.612244898
8000,0.146,14.8404,0.569591837
8000,0.14,15.71652,0.525510204
8000,0.133,16.58817,0.480306122
8000,0.125,17.45982,0.433979592
8000,0.117,18.33594,0.386734694
8000,0.109,19.20759,0.338877551
8000,0.099,20.07924,0.290408163
8000,0.09,20.95536,0.241530612
8000,0.079,21.82701,0.19255102
8000,0.068,22.69866,0.143673469
8000,0.057,23.57478,0.095102041
8000,0.046,24.44643,0.047142857
8000,0.034,25.31808,0
9000,0.201,0,1.329081633
9000,0.204,0.9834,1.310306122
9000,0.207,1.9668,1.289897959
9000,0.209,2.9502,1.267755102
9000,0.211,3.92913,1.24377551
9000,0.213,4.91253,1.217653061
9000,0.214,5.89593,1.189591837
9000,0.215,6.87933,1.159183673
9000,0.215,7.86273,1.126530612
9000,0.215,8.84613,1.091530612
9000,0.214,9.82506,1.054081633
9000,0.212,10.80846,1.014285714
9000,0.21,11.79186,0.971938776
9000,0.206,12.77526,0.927040816
9000,0.202,13.75866,0.879795918
9000,0.197,14.74206,0.83
9000,0.191,15.72546,0.777857143
9000,0.184,16.70439,0.723673469
9000,0.176,17.68779,0.667653061
9000,0.167,18.67119,0.610102041
9000,0.158,19.65459,0.55122449
9000,0.147,20.63799,0.49122449
9000,0.136,21.62139,0.430306122
9000,0.124,22.60032,0.368673469
9000,0.112,23.58372,0.306632653
9000,0.099,24.56712,0.244285714
9000,0.085,25.55052,0.182142857
9000,0.07,26.53392,0.120408163
9000,0.056,27.51732,0.059489796
9000,0.041,28.50072,-0.000306122
10000,0.248,0,1.646734694
10000,0.251,1.09068,1.623673469
10000,0.255,2.18583,1.598469388
10000,0.257,3.27651,1.571122449
10000,0.26,4.36719,1.541530612
10000,0.262,5.46234,1.509387755
10000,0.264,6.55302,1.474591837
10000,0.265,7.6437,1.437040816
10000,0.265,8.73885,1.396734694
10000,0.265,9.82953,1.353367347
10000,0.264,10.92021,1.307040816
10000,0.262,12.01536,1.257653061
10000,0.258,13.10604,1.205204082
10000,0.254,14.20119,1.149693878
10000,0.249,15.29187,1.091020408
10000,0.243,16.38255,1.029387755
10000,0.235,17.4777,0.964693878
10000,0.226,18.56838,0.89744898
10000,0.217,19.65906,0.827959184
10000,0.206,20.75421,0.756632653
10000,0.194,21.84489,0.683571429
10000,0.181,22.93557,0.609081633
10000,0.167,24.03072,0.533469388
10000,0.152,25.1214,0.457040816
10000,0.137,26.21208,0.380102041
10000,0.12,27.30723,0.302755102
10000,0.103,28.39791,0.225714286
10000,0.085,29.48859,0.149081633
10000,0.067,30.58374,0.073571429
10000,0.048,31.67442,-0.000714286
11000,0.3,0,2.000408163
11000,0.304,1.20243,1.97255102
11000,0.308,2.40486,1.942244898
11000,0.311,3.60729,1.909183673
11000,0.315,4.80525,1.873265306
11000,0.317,6.00768,1.834387755
11000,0.319,7.21011,1.792346939
11000,0.321,8.41254,1.746836735
11000,0.321,9.61497,1.697959184
11000,0.321,10.8174,1.645408163
11000,0.319,12.01536,1.589183673
11000,0.317,13.21779,1.529183673
11000,0.313,14.42022,1.465510204
11000,0.308,15.62265,1.398061224
11000,0.301,16.82508,1.326836735
11000,0.294,18.02751,1.251836735
11000,0.284,19.22547,1.173265306
11000,0.274,20.4279,1.091428571
11000,0.262,21.63033,1.006938776
11000,0.248,22.83276,0.920102041
11000,0.234,24.03519,0.831326531
11000,0.218,25.23762,0.740714286
11000,0.201,26.43558,0.64877551
11000,0.183,27.63801,0.555714286
11000,0.164,28.84044,0.462040816
11000,0.144,30.04287,0.368061224
11000,0.123,31.2453,0.274183673
11000,0.101,32.44773,0.181020408
11000,0.078,33.65016,0.089081633
11000,0.055,34.84812,-0.00122449
12000,0.357,0,2.391020408
12000,0.362,1.32759,2.357653061
12000,0.367,2.65518,2.321122449
12000,0.371,3.9783,2.281326531
12000,0.375,5.30589,2.237959184
12000,0.378,6.63348,2.191020408
12000,0.381,7.96107,2.14
12000,0.382,9.28866,2.084897959
12000,0.383,10.61178,2.025510204
12000,0.382,11.93937,1.961632653
12000,0.38,13.26696,1.893163265
12000,0.377,14.59455,1.820204082
12000,0.372,15.92214,1.74255102
12000,0.366,17.24973,1.660204082
12000,0.358,18.57285,1.573367347
12000,0.348,19.90044,1.481836735
12000,0.336,21.22803,1.385918367
12000,0.323,22.55562,1.28622449
12000,0.308,23.88321,1.183265306
12000,0.292,25.20633,1.07755102
12000,0.274,26.53392,0.969387755
12000,0.254,27.86151,0.859183673
12000,0.233,29.1891,0.74744898
12000,0.211,30.51669,0.634387755
12000,0.187,31.83981,0.520714286
12000,0.162,33.1674,0.406836735
12000,0.136,34.49499,0.293265306
12000,0.109,35.82258,0.180816327
12000,0.082,37.15017,0.07
12000,,38.47329,0
13000,0.42,0,2.819591837
13000,0.426,1.42146,2.781020408
13000,0.431,2.83845,2.738979592
13000,0.437,4.25991,2.693061224
13000,0.441,5.68137,2.643061224
13000,0.445,7.09836,2.588877551
13000,0.448,8.51982,2.53
13000,0.45,9.93681,2.466428571
13000,0.451,11.35827,2.397959184
13000,0.45,12.77973,2.324183673
13000,0.448,14.19672,2.245306122
13000,0.444,15.61818,2.161020408
13000,0.439,17.03964,2.071326531
13000,0.432,18.45663,1.976326531
13000,0.423,19.87809,1.876020408
13000,0.412,21.29955,1.770306122
13000,0.399,22.71654,1.659387755
13000,0.383,24.138,1.543979592
13000,0.366,25.55946,1.424693878
13000,0.347,26.97645,1.302040816
13000,0.327,28.39791,1.176428571
13000,0.304,29.8149,1.048367347
13000,0.28,31.23636,0.918367347
13000,0.254,32.65782,0.786836735
13000,0.227,34.07481,0.654285714
13000,0.198,35.49627,0.52122449
13000,0.168,36.91773,0.388469388
13000,0.137,38.33472,0.256632653
13000,0.104,39.75618,0.126530612
13000,0.071,41.17764,-0.001326531
14000,0.488,0,3.287244898
14000,0.496,1.52874,3.242857143
14000,0.502,3.05748,3.194183673
14000,0.508,4.58175,3.14122449
14000,0.514,6.11049,3.083469388
14000,0.518,7.63923,3.020714286
14000,0.522,9.16797,2.95255102
14000,0.524,10.69224,2.878877551
14000,0.525,12.22098,2.799285714
14000,0.524,13.74972,2.71377551
14000,0.522,15.27846,2.622040816
14000,0.518,16.8072,2.524081633
14000,0.511,18.33147,2.419795918
14000,0.503,19.86021,2.309285714
14000,0.492,21.38895,2.19244898
14000,0.479,22.91769,2.069285714
14000,0.464,24.44643,1.940102041
14000,0.446,25.9707,1.805510204
14000,0.426,27.49944,1.666428571
14000,0.404,29.02818,1.523265306
14000,0.38,30.55692,1.376836735
14000,0.353,32.08119,1.227346939
14000,0.325,33.60993,1.075612245
14000,0.295,35.13867,0.922040816
14000,0.263,36.66741,0.767244898
14000,0.229,38.19615,0.611938776
14000,0.194,39.72042,0.456734694
14000,0.157,41.24916,0.302755102
14000,0.119,42.7779,0.150714286
14000,0.081,44.30664,0.001326531
15000,0.563,0,3.795306122
15000,0.572,1.63602,3.744693878
15000,0.58,3.27204,3.689183673
15000,0.587,4.91253,3.628469388
15000,0.593,6.54855,3.562346939
15000,0.598,8.18457,3.490408163
15000,0.602,9.82059,3.412244898
15000,0.605,11.45661,3.32755102
15000,0.606,13.09263,3.236122449
15000,0.605,14.73312,3.137653061
15000,0.603,16.36914,3.031938776
15000,0.598,18.00516,2.918979592
15000,0.59,19.64118,2.79877551
15000,0.581,21.2772,2.671122449
15000,0.568,22.91769,2.536326531
15000,0.553,24.55371,2.394081633
15000,0.535,26.18973,2.244693878
15000,0.515,27.82575,2.089183673
15000,0.491,29.46177,1.928265306
15000,0.466,31.09779,1.762755102
15000,0.437,32.73828,1.593265306
15000,0.407,34.3743,1.420306122
15000,0.374,36.01032,1.244591837
15000,0.338,37.64634,1.066836735
15000,0.301,39.28236,0.88755102
15000,0.262,40.92285,0.707653061
15000,0.221,42.55887,0.527959184
15000,0.178,44.19489,0.349489796
15000,0.134,45.83091,0.173367347
15000,0.09,47.46693,0.000306122
16000,0.645,0,4.345306122
16000,0.655,1.7433,4.288163265
16000,0.664,3.49107,4.225408163
16000,0.672,5.23437,4.156734694
16000,0.679,6.98214,4.081836735
16000,0.685,8.72544,4.000102041
16000,0.69,10.47321,3.91122449
16000,0.693,12.21651,3.814795918
16000,0.695,13.96428,3.710612245
16000,0.694,15.70758,3.598367347
16000,0.691,17.45535,3.477755102
16000,0.685,19.19865,3.34877551
16000,0.676,20.94642,3.21122449
16000,0.665,22.68972,3.065306122
16000,0.651,24.43749,2.911020408
16000,0.634,26.18079,2.748163265
16000,0.613,27.92409,2.577040816
16000,0.589,29.67186,2.39877551
16000,0.562,31.41516,2.214285714
16000,0.533,33.16293,2.024387755
16000,0.5,34.90623,1.829897959
16000,0.465,36.654,1.631428571
16000,0.427,38.3973,1.429693878
16000,0.386,40.14507,1.225612245
16000,0.343,41.88837,1.019693878
16000,0.298,43.63614,0.813061224
16000,0.25,45.37944,0.606632653
16000,0.201,47.12721,0.401530612
16000,0.151,48.87051,0.199183673
16000,0.099,50.61828,0.000102041
17000,0.734,0,4.939081633
17000,0.745,1.85505,4.875102041
17000,0.755,3.70563,4.804897959
17000,0.765,5.56068,4.727857143
17000,0.773,7.41573,4.643673469
17000,0.78,9.27078,4.551632653
17000,0.786,11.12136,4.451428571
17000,0.789,12.97641,4.342653061
17000,0.791,14.83146,4.224897959
17000,0.79,16.68204,4.097857143
17000,0.786,18.53709,3.961326531
17000,0.78,20.39214,3.815
17000,0.77,22.24719,3.659081633
17000,0.757,24.09777,3.493367347
17000,0.741,25.95282,3.317959184
17000,0.721,27.80787,3.132857143
17000,0.698,29.65845,2.938265306
17000,0.67,31.5135,2.735408163
17000,0.639,33.36855,2.525306122
17000,0.605,35.2236,2.309081633
17000,0.568,37.07418,2.08744898
17000,0.527,38.92923,1.86122449
17000,0.484,40.78428,1.631326531
17000,0.437,42.63486,1.398469388
17000,0.388,44.48991,1.163571429
17000,0.336,46.34496,0.927755102
17000,0.282,48.20001,0.692244898
17000,0.226,50.05059,0.458163265
17000,0.168,51.90564,0.227040816
17000,0.109,53.76069,-0.000204082
18000,0.831,0,5.578367347
18000,0.844,1.96233,5.507653061
18000,0.855,3.92466,5.429693878
18000,0.866,5.88699,5.344081633
18000,0.876,7.84932,5.250204082
18000,0.884,9.80718,5.14755102
18000,0.89,11.76951,5.035510204
18000,0.894,13.73184,4.913673469
18000,0.896,15.69417,4.781530612
18000,0.895,17.6565,4.63877551
18000,0.89,19.61883,4.485204082
18000,0.883,21.58116,4.320510204
18000,0.872,23.54349,4.144693878
18000,0.857,25.50135,3.957755102
18000,0.839,27.46368,3.759897959
18000,0.816,29.42601,3.550816327
18000,0.789,31.38834,3.330816327
18000,0.758,33.35067,3.101428571
18000,0.723,35.313,2.863673469
18000,0.684,37.27533,2.618877551
18000,0.642,39.23766,2.367857143
18000,0.596,41.19552,2.111632653
18000,0.546,43.15785,1.851020408
18000,0.493,45.12018,1.587040816
18000,0.437,47.08251,1.320714286
18000,0.378,49.04484,1.053163265
18000,0.316,51.00717,0.785816327
18000,0.253,52.9695,0.52
18000,0.188,54.93183,0.25755102
18000,0.121,56.89416,-0.000714286
19000,0.944,0,6.265
19000,0.957,2.06961,6.18755102
19000,0.969,4.13922,6.101938776
19000,0.981,6.20883,6.007653061
19000,0.991,8.27844,5.903979592
19000,0.999,10.34358,5.790408163
19000,1.005,12.41319,5.666122449
19000,1.009,14.4828,5.530612245
19000,1.011,16.55241,5.383469388
19000,1.009,18.62202,5.224285714
19000,1.004,20.69163,5.052653061
19000,0.996,22.76124,4.868469388
19000,0.983,24.83085,4.671632653
19000,0.967,26.90046,4.462040816
19000,0.946,28.97007,4.24
19000,0.92,31.03521,4.005306122
19000,0.89,33.10482,3.758163265
19000,0.854,35.17443,3.500102041
19000,0.815,37.24404,3.23255102
19000,0.771,39.31365,2.956938776
19000,0.722,41.38326,2.674183673
19000,0.67,43.45287,2.385306122
19000,0.614,45.52248,2.091530612
19000,0.554,47.59209,1.793673469
19000,0.491,49.65723,1.493061224
19000,0.425,51.72684,1.191020408
19000,0.357,53.79645,0.88877551
19000,0.286,55.86606,0.588265306
19000,0.214,57.93567,0.29122449
19000,0.141,60.00528,-0.001122449
20000,1.083,0,7.000612245
20000,1.095,2.17689,6.916734694
20000,1.107,4.35378,6.823673469
20000,1.118,6.5262,6.720918367
20000,1.127,8.70309,6.60744898
20000,1.135,10.87998,6.482755102
20000,1.14,13.05687,6.346020408
20000,1.143,15.22929,6.196530612
20000,1.143,17.40618,6.033877551
20000,1.139,19.58307,5.85744898
20000,1.132,21.75996,5.667040816
20000,1.122,23.93238,5.462244898
20000,1.107,26.10927,5.243163265
20000,1.087,28.28616,5.009591837
20000,1.063,30.46305,4.761836735
20000,1.034,32.63547,4.499693878
20000,0.999,34.81236,4.223367347
20000,0.959,36.98925,3.934591837
20000,0.915,39.16614,3.635
20000,0.865,41.33856,3.326020408
20000,0.811,43.51545,3.008877551
20000,0.753,45.69234,2.684795918
20000,0.69,47.86923,2.354897959
20000,0.624,50.04165,2.020306122
20000,0.554,52.21854,1.682346939
20000,0.482,54.39543,1.342346939
20000,0.407,56.57232,1.002142857
20000,0.331,58.74474,0.663469388
20000,0.254,60.92163,0.328469388
20000,0.176,63.09852,-0.001428571
21000,1.262,0,7.785510204
21000,1.274,2.28417,7.695510204
21000,1.284,4.56834,7.595306122
21000,1.293,6.85251,7.484183673
21000,1.299,9.13668,7.361122449
21000,1.304,11.42085,7.225408163
21000,1.307,13.70502,7.076020408
21000,1.306,15.98919,6.912244898
21000,1.303,18.27336,6.733571429
21000,1.296,20.55753,6.539285714
21000,1.285,22.8417,6.328979592
21000,1.27,25.12587,6.10255102
21000,1.25,27.41004,5.859693878
21000,1.226,29.69421,5.600612245
21000,1.197,31.97838,5.325408163
21000,1.162,34.26255,5.033877551
21000,1.122,36.54672,4.72622449
21000,1.076,38.83089,4.404183673
21000,1.026,41.11506,4.069897959
21000,0.97,43.39923,3.724693878
21000,0.911,45.68787,3.370204082
21000,0.846,47.97204,3.007653061
21000,0.778,50.25621,2.638469388
21000,0.706,52.54038,2.263877551
21000,0.631,54.82455,1.885408163
21000,0.554,57.10872,1.504489796
21000,0.475,59.39289,1.123163265
21000,0.396,61.67706,0.743367347
21000,0.316,63.96123,0.367653061
21000,0.237,66.2454,-0.002244898
