m_empty|m_boom|m_wing|Lw|Lh|span|AR|taper|twist|Sref|alpha_list|AOA_stall|AOA_takeoff_max|AOA_climb_max|AOA_turn_max|CL|CD_wing|CD_fuse|CD_total|CL_flap_max|CL_flap_zero|CD_flap_max|CD_flap_zero|aircraft.m_fuselage|aircraft.wing_area_blocked_by_fuselage|aircraft.wing_density|aircraft.mainwing_span|aircraft.mainwing_AR|aircraft.mainwing_taper|aircraft.mainwing_twist|aircraft.mainwing_sweepback|aircraft.mainwing_dihedral|aircraft.mainwing_incidence|aircraft.flap_start|aircraft.flap_end|aircraft.flap_angle|aircraft.flap_c_ratio|aircraft.horizontal_volume_ratio|aircraft.horizontal_area_ratio|aircraft.horizontal_AR|aircraft.horizontal_taper|aircraft.horizontal_ThickChord|aircraft.vertical_volume_ratio|aircraft.vertical_taper|aircraft.vertical_ThickChord|aircraft.mainwing_airfoil_datapath|aircraft.horizontal_airfoil_datapath|aircraft.vertical_airfoil_datapath|hash
4090.570614359885|223.4411364037844|1167.1294779561008|-39.3692804567911|850.3503457114331|1700.0|5.309360739307657|0.65|0.0|540186.9158878505|[-3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]|13|10|8|8|[0.177799038287173, 0.2550095778631637, 0.3401199161020803, 0.41447057979223745, 0.4892595786379621, 0.5675460079409089, 0.6453676572180338, 0.7232448351640303, 0.8017844279228284, 0.8805093132617364, 0.9593314347137482, 1.038205410568202, 1.1180220382390456, 1.1980279722513787]|[0.0164417449441055, 0.019026596510842066, 0.022216313701754243, 0.02559466992891305, 0.02977337704625393, 0.034899127714400555, 0.04082234076508408, 0.047534577500837116, 0.055074827699413034, 0.06341504799392209, 0.07254942264534996, 0.08247460934278236, 0.09330464209023008, 0.10496311220150752]|[0.05438629895187937, 0.053111560335886966, 0.05321485165605932, 0.05160873464623473, 0.053214851656059325, 0.053111560335886966, 0.05438629895187936, 0.057168176593506675, 0.05934474101647369, 0.0624325486229245, 0.06893649644474731, 0.07766456883022756, 0.0905853588804364, 0.10899834418261369]|[0.07082804389598486, 0.07213815684672903, 0.07543116535781356, 0.07720340457514778, 0.08298822870231326, 0.08801068805028753, 0.09520863971696344, 0.10470275409434379, 0.11441956871588672, 0.12584759661684658, 0.14148591909009728, 0.16013917817300993, 0.1838900009706665, 0.2139614563841212]|1.4358381489510688|0.7626570068978537|0.2776999272349664|0.1143714486364562|2500|72640|5.88e-05|1700.0|5.35|0.65|0.0|0|5.0|0.0|[0.05, 0.4]|[0.25, 0.6]|[20.0, 20.0]|[0.35, 0.35]|0.7|0.25|4.0|1|8|0.053|0.6|9|data/airfoilDAT/sg6043.dat|data/airfoilDAT/naca0008.dat|data/airfoilDAT/naca0009.dat|'1960674417750414684'
4027.9891177103295|223.4411364037844|1104.5479813065451|-39.3692804567911|850.3503457114331|1700.0|5.309360739307657|0.65|0.0|540186.9158878505|[-3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]|13|10|8|8|[0.05022692830311716, 0.12699668641720396, 0.20891513288314684, 0.2841388198928701, 0.3595309494779576, 0.4374942516810653, 0.5151342311656777, 0.5928779400376513, 0.6712501143079781, 0.7497798160365599, 0.8284359758433488, 0.90717936833267, 0.9867803307558487, 1.0665713639121208]|[0.014071792350483487, 0.015064002958634875, 0.016771025647981486, 0.019010786787140296, 0.02202166595615402, 0.02589475521693542, 0.03054923889501303, 0.035985104756148176, 0.042237144806108746, 0.04928071749656777, 0.057115721778859055, 0.06574026974247596, 0.07524789826394016, 0.08557558956056219]|[0.05438629895187937, 0.053111560335886966, 0.05321485165605932, 0.05160873464623473, 0.053214851656059325, 0.053111560335886966, 0.05438629895187936, 0.057168176593506675, 0.05934474101647369, 0.0624325486229245, 0.06893649644474731, 0.07766456883022756, 0.0905853588804364, 0.10899834418261369]|[0.06845809130236286, 0.06817556329452185, 0.06998587730404081, 0.07061952143337502, 0.07523651761221334, 0.07900631555282239, 0.0849355378468924, 0.09315328134965485, 0.10158188582258243, 0.11171326611949227, 0.12605221822360635, 0.14340483857270353, 0.16583325714437655, 0.1945739337431759]|1.3162161897664508|0.6415686836214539|0.2538244960536551|0.1011633782855613|2500|72640|5.88e-05|1700.0|5.35|0.65|0.0|0|5.0|0.0|[0.05, 0.4]|[0.25, 0.6]|[20.0, 20.0]|[0.35, 0.35]|0.7|0.25|4.0|1|8|0.053|0.6|9|data/airfoilDAT/mh122.dat|data/airfoilDAT/naca0008.dat|data/airfoilDAT/naca0009.dat|'479907997227682580'
4074.834623707682|221.32098926577177|1153.5136344419102|-40.115861193302266|841.3656202881793|1700.0|5.358980933132961|0.65|0.0|535185.1851851853|[-3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]|13|10|8|8|[0.17808235822257376, 0.2564307125535082, 0.34197481531080315, 0.4161242425690915, 0.4916542604238781, 0.5684910028534472, 0.6465985816396306, 0.7263746719797005, 0.8047985950517119, 0.8837158413628108, 0.9627868300741439, 1.0418754494683446, 1.1212575998217928, 1.2009537254076619]|[0.016546088736078202, 0.019053441554653387, 0.022197778893887, 0.025545994448837206, 0.02972968740099468, 0.0347770822644736, 0.040673102410172635, 0.04746231857766831, 0.054957439521200045, 0.06327000581398126, 0.07237761482016784, 0.08227048755826935, 0.09298392137556376, 0.1045289603565562]|[0.05489458211965393, 0.053607930058652255, 0.05371218671826547, 0.052091059269096726, 0.05371218671826548, 0.053607930058652255, 0.05489458211965392, 0.05770245861774505, 0.05989936476429119, 0.06301603038575555, 0.06958076276666082, 0.07839040592209884, 0.09143195101950588, 0.11001702029646987]|[0.07144067085573214, 0.07266137161330564, 0.07590996561215246, 0.07763705371793393, 0.08344187411926016, 0.08838501232312584, 0.09556768452982656, 0.10516477719541337, 0.11485680428549123, 0.12628603619973683, 0.14195837758682867, 0.1606608934803682, 0.18441587239506962, 0.21454598065302607]|1.4337449641524525|0.7649421868964854|0.2774146133617533|0.1148636064220496|2500|72640|5.88e-05|1700.0|5.4|0.65|0.0|0|5.0|0.0|[0.05, 0.4]|[0.25, 0.6]|[20.0, 20.0]|[0.35, 0.35]|0.7|0.25|4.0|1|8|0.053|0.6|9|data/airfoilDAT/sg6043.dat|data/airfoilDAT/naca0008.dat|data/airfoilDAT/naca0009.dat|'1537238700741776165'
4013.406505295042|221.32098926577177|1092.0855160292708|-40.115861193302266|841.3656202881793|1700.0|5.358980933132961|0.65|0.0|535185.1851851853|[-3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]|13|10|8|8|[0.050348590571512385, 0.12777253936162986, 0.2100864118195073, 0.2852365734217061, 0.36122060183094856, 0.4381319124062536, 0.5160089871781667, 0.5952830210538197, 0.6735996779166139, 0.7523219896684991, 0.8312169455881224, 0.9101706994145038, 0.9894195867200634, 1.0689298938847442]|[0.014098146264103585, 0.015068541476248852, 0.01675657258756121, 0.018980013674263777, 0.021991609565876636, 0.025811434118414904, 0.030441699715972898, 0.03592695267122793, 0.04214242218942166, 0.04916135015803563, 0.05697177589138697, 0.0655668098864001, 0.07497645601717243, 0.0852012152715157]|[0.05489458211965393, 0.053607930058652255, 0.05371218671826547, 0.052091059269096726, 0.05371218671826548, 0.053607930058652255, 0.05489458211965392, 0.05770245861774505, 0.05989936476429119, 0.06301603038575555, 0.06958076276666082, 0.07839040592209884, 0.09143195101950588, 0.11001702029646987]|[0.06899272838375752, 0.06867647153490111, 0.07046875930582668, 0.0710710729433605, 0.07570379628414212, 0.07941936417706716, 0.08533628183562682, 0.09362941128897298, 0.10204178695371285, 0.11217738054379119, 0.1265525386580478, 0.14395721580849893, 0.1664084070366783, 0.19521823556798557]|1.3133831321482186|0.6432229033634361|0.2535697230927336|0.1016395099374499|2500|72640|5.88e-05|1700.0|5.4|0.65|0.0|0|5.0|0.0|[0.05, 0.4]|[0.25, 0.6]|[20.0, 20.0]|[0.35, 0.35]|0.7|0.25|4.0|1|8|0.053|0.6|9|data/airfoilDAT/mh122.dat|data/airfoilDAT/naca0008.dat|data/airfoilDAT/naca0009.dat|'2650456433129592568'
4059.48318358547|219.23997845227248|1140.243205133198|-40.84874320070317|832.5457522121409|1700.0|5.408601126958267|0.65|0.0|530275.2293577982|[-3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]|13|10|8|8|[0.17885063699541448, 0.2581529820079578, 0.34331832331168577, 0.4171012481297354, 0.4928636334409727, 0.571051208239413, 0.6491001569633711, 0.7278528500721304, 0.8077560109662473, 0.8868877287929803, 0.96611998517098, 1.0454421564856258, 1.1246870674592926, 1.2048497558499596]|[0.016619329346176402, 0.019083318724893678, 0.02218074684513648, 0.025485526374543672, 0.02965174743317899, 0.03472622017526455, 0.04059544166127335, 0.047283034685739245, 0.05483775227557067, 0.06312383995689533, 0.07219737932932233, 0.08205864471582919, 0.09269229414395529, 0.10423072431032711]|[0.05540286528742851, 0.05410429978141755, 0.054209521780471635, 0.05257338389195874, 0.05420952178047164, 0.05410429978141755, 0.0554028652874285, 0.05823674064198343, 0.0604539885121087, 0.06359951214858663, 0.07022502908857434, 0.07911624301397012, 0.09227854315857538, 0.11103569641032607]|[0.0720221946336049, 0.07318761850631123, 0.07639026862560812, 0.07805891026650241, 0.08386126921365063, 0.08883051995668209, 0.09599830694870184, 0.10551977532772266, 0.11529174078767937, 0.12672335210548197, 0.14242240841789666, 0.16117488772979932, 0.18497083730253067, 0.21526642072065316]|1.4370972614781945|0.7605506196285513|0.2780477305391231|0.115250413777009|2500|72640|5.88e-05|1700.0|5.449999999999999|0.65|0.0|0|5.0|0.0|[0.05, 0.4]|[0.25, 0.6]|[20.0, 20.0]|[0.35, 0.35]|0.7|0.25|4.0|1|8|0.053|0.6|9|data/airfoilDAT/sg6043.dat|data/airfoilDAT/naca0008.dat|data/airfoilDAT/naca0009.dat|'1552914310755835741'
3999.1767883838993|219.23997845227248|1079.9368099316266|-40.84874320070317|832.5457522121409|1700.0|5.408601126958267|0.65|0.0|530275.2293577982|[-3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]|13|10|8|8|[0.05075255447814463, 0.12877044222109052, 0.2109445773937485, 0.285893034088752, 0.362071376794296, 0.4400359399084737, 0.5179228897458763, 0.5964245269199139, 0.6759629081290818, 0.754900401787614, 0.8339661008094607, 0.9131497171908628, 0.9923072887384443, 1.0722537912483108]|[0.014112829089283357, 0.01507378938446574, 0.01674447150380388, 0.018944522543355064, 0.021942198113047755, 0.02577618448249761, 0.0303859580852263, 0.035796131260313266, 0.042050971436372, 0.049047172730828474, 0.05682847223433146, 0.06539586628162489, 0.07473736231919824, 0.08495533122414635]|[0.05540286528742851, 0.05410429978141755, 0.054209521780471635, 0.05257338389195874, 0.05420952178047164, 0.05410429978141755, 0.0554028652874285, 0.05823674064198343, 0.0604539885121087, 0.06359951214858663, 0.07022502908857434, 0.07911624301397012, 0.09227854315857538, 0.11103569641032607]|[0.06951569437671186, 0.06917808916588329, 0.07095399328427551, 0.0715179064353138, 0.0761517198935194, 0.07988048426391516, 0.0857888233726548, 0.0940328719022967, 0.1025049599484807, 0.1126466848794151, 0.1270535013229058, 0.144512109295595, 0.16701590547777362, 0.1959910276344724]|1.3163999434743756|0.6386636227834843|0.2542726460573107|0.1020907529248004|2500|72640|5.88e-05|1700.0|5.449999999999999|0.65|0.0|0|5.0|0.0|[0.05, 0.4]|[0.25, 0.6]|[20.0, 20.0]|[0.35, 0.35]|0.7|0.25|4.0|1|8|0.053|0.6|9|data/airfoilDAT/mh122.dat|data/airfoilDAT/naca0008.dat|data/airfoilDAT/naca0009.dat|'8667908528645435250'
4275.8167936113305|236.58473266283065|1339.2320609485|-34.62629695424937|907.4297778121058|1800.0|5.309360739307655|0.65|0.0|605607.4766355142|[-3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]|13|10|8|8|[0.17727591600480255, 0.25665984466810005, 0.3421223330968012, 0.4163954886409028, 0.4912983766151353, 0.5699415730261709, 0.6479847594831052, 0.7261443663974934, 0.8050381938345506, 0.884136040473362, 0.9634433665489763, 1.042833274755288, 1.1233867103957256, 1.2041852569794103]|[0.01671421189779136, 0.019346056211529152, 0.022572387921434702, 0.02596792743098145, 0.030171817313219405, 0.03534332997077151, 0.04131792228088181, 0.04809113176794585, 0.05570698551935733, 0.06413480857731722, 0.07337744792371427, 0.08342265362042617, 0.09440274335270707, 0.10623598895487991]|[0.04851123579349733, 0.04737420042305966, 0.047466333730250436, 0.04603371701469702, 0.04746633373025044, 0.04737420042305966, 0.04851123579349732, 0.05099260196149206, 0.0529340436844472, 0.0556882918272382, 0.0614896526929999, 0.06927487775288815, 0.08079990344582134, 0.09722383169375108]|[0.06522544769128868, 0.06672025663458882, 0.07003872165168513, 0.07200164444567847, 0.07763815104346986, 0.08271753039383117, 0.08982915807437913, 0.0990837337294379, 0.10864102920380453, 0.11982310040455543, 0.13486710061671417, 0.15269753137331432, 0.17520264679852843, 0.203459820648631]|1.447985986631249|0.7777527828727193|0.2668159699068049|0.1098955128180941|2500|72640|5.88e-05|1800.0|5.35|0.65|0.0|0|5.0|0.0|[0.05, 0.4]|[0.25, 0.6]|[20.0, 20.0]|[0.35, 0.35]|0.7|0.25|4.0|1|8|0.053|0.6|9|data/airfoilDAT/sg6043.dat|data/airfoilDAT/naca0008.dat|data/airfoilDAT/naca0009.dat|'1348307037197231315'
4201.529223079691|236.58473266283065|1264.9444904168606|-34.62629695424937|907.4297778121058|1800.0|5.309360739307655|0.65|0.0|605607.4766355142|[-3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]|13|10|8|8|[0.04841956311613363, 0.12715010314592362, 0.20982298485829987, 0.28544776310089065, 0.36127573296551757, 0.43974491555730444, 0.5178616572905327, 0.5960446205356008, 0.6748398161243002, 0.7538352111597525, 0.8330473831059257, 0.9123537013843783, 0.9927096644398457, 1.0733141745413561]|[0.014323145849752068, 0.015317046092231971, 0.01704351358060104, 0.019302415242688466, 0.022342171180601937, 0.026258686221307087, 0.03096992217447067, 0.036470365417926656, 0.04279579627180043, 0.04992720693300327, 0.05786678994950926, 0.06660803023693754, 0.07626122418840717, 0.08675714573832799]|[0.04851123579349733, 0.04737420042305966, 0.047466333730250436, 0.04603371701469702, 0.04746633373025044, 0.04737420042305966, 0.04851123579349732, 0.05099260196149206, 0.0529340436844472, 0.0556882918272382, 0.0614896526929999, 0.06927487775288815, 0.08079990344582134, 0.09722383169375108]|[0.06283438164324939, 0.06269124651529163, 0.06450984731085148, 0.06533613225738549, 0.06980850491085239, 0.07363288664436675, 0.079481157967968, 0.08746296737941872, 0.09572983995624763, 0.10561549876024147, 0.11935644264250916, 0.1358829079898257, 0.15706112763422853, 0.18398097743207908]|1.3278410571742305|0.6552800300935322|0.2428875564646179|0.0964248180740126|2500|72640|5.88e-05|1800.0|5.35|0.65|0.0|0|5.0|0.0|[0.05, 0.4]|[0.25, 0.6]|[20.0, 20.0]|[0.35, 0.35]|0.7|0.25|4.0|1|8|0.053|0.6|9|data/airfoilDAT/mh122.dat|data/airfoilDAT/naca0008.dat|data/airfoilDAT/naca0009.dat|'6015903352439808804'
4257.409182622153|234.33987098728767|1323.0693116348652|-35.416794204673|897.9165391286604|1800.0000000000002|5.358980933132962|0.65|0.0|600000.0000000001|[-3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]|13|10|8|8|[0.1774224256258522, 0.2578731698502367, 0.3440559444013428, 0.41807435442434193, 0.4937666440586551, 0.5708979482552566, 0.6492652563843085, 0.7294773791789274, 0.8082871733052991, 0.8876656939696668, 0.9672459027336195, 1.046905073694644, 1.1269278737347699, 1.207495197797585]|[0.0168205437298944, 0.019372634264883202, 0.022557196586624, 0.02592129372294827, 0.030132872596019197, 0.0352231367147008, 0.04116993362080427, 0.0480358176632576, 0.05561004603693227, 0.0640183868198656, 0.07323884118350506, 0.08325932262905174, 0.09411759641424212, 0.10584048482983253]|[0.04896461182895058, 0.04781694995972377, 0.04790994432586025, 0.046463938669039986, 0.04790994432586026, 0.04781694995972377, 0.048964611828950566, 0.05146916833496395, 0.0534287543730869, 0.05620874315272641, 0.06206432234433635, 0.06992230651693383, 0.08155504273036172, 0.09813246563481418]|[0.06578515555884498, 0.06718958422460697, 0.07046714091248425, 0.07238523239198826, 0.07804281692187945, 0.08304008667442457, 0.09013454544975483, 0.09950498599822155, 0.10903880041001918, 0.12022712997259202, 0.1353031635278414, 0.15318162914598557, 0.17567263914460385, 0.2039729504646467]|1.4463110031402324|0.7800552193405695|0.266453484149852|0.1103411327962207|2500|72640|5.88e-05|1800.0|5.4|0.65|0.0|0|5.0|0.0|[0.05, 0.4]|[0.25, 0.6]|[20.0, 20.0]|[0.35, 0.35]|0.7|0.25|4.0|1|8|0.053|0.6|9|data/airfoilDAT/sg6043.dat|data/airfoilDAT/naca0008.dat|data/airfoilDAT/naca0009.dat|'2287061095349555796'
4184.490638824792|234.33987098728767|1250.150767837504|-35.416794204673|897.9165391286604|1800.0000000000002|5.358980933132962|0.65|0.0|600000.0000000001|[-3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]|13|10|8|8|[0.04842639639959743, 0.12777682320432934, 0.21103327166741015, 0.2865615389391275, 0.36302131203523524, 0.44041269147746465, 0.5187985021062503, 0.5986374900992034, 0.6774140445382145, 0.7566880514518071, 0.8361530603840712, 0.9157291583420288, 0.9956537826230095, 1.0760910218302768]|[0.014352938886126933, 0.015323592072558933, 0.0170313803804928, 0.0192734386847488, 0.02231548794323627, 0.026177858390220802, 0.030865313258120534, 0.03642508263694507, 0.04271744574938453, 0.049831724510976, 0.05775018522000214, 0.06646916246605653, 0.07601961383597226, 0.0864228432964608]|[0.04896461182895058, 0.04781694995972377, 0.04790994432586025, 0.046463938669039986, 0.04790994432586026, 0.04781694995972377, 0.048964611828950566, 0.05146916833496395, 0.0534287543730869, 0.05620874315272641, 0.06206432234433635, 0.06992230651693383, 0.08155504273036172, 0.09813246563481418]|[0.06331755071507751, 0.0631405420322827, 0.06494132470635305, 0.06573737735378879, 0.07022543226909653, 0.07399480834994457, 0.0798299250870711, 0.08789425097190902, 0.09614620012247144, 0.10604046766370241, 0.11981450756433848, 0.13639146898299037, 0.157574656566334, 0.18455530893127498]|1.3254178346884096|0.6569124590429781|0.2425489161837891|0.0968532327620618|2500|72640|5.88e-05|1800.0|5.4|0.65|0.0|0|5.0|0.0|[0.05, 0.4]|[0.25, 0.6]|[20.0, 20.0]|[0.35, 0.35]|0.7|0.25|4.0|1|8|0.053|0.6|9|data/airfoilDAT/mh122.dat|data/airfoilDAT/naca0008.dat|data/airfoilDAT/naca0009.dat|'441076189233747322'
4239.45303078476|232.1364477729944|1307.3165830117655|-36.192786918391576|888.5778552834435|1799.9999999999998|5.408601126958264|0.65|0.0|594495.4128440368|[-3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]|13|10|8|8|[0.1779594719050427, 0.2593696050579605, 0.3453378561871642, 0.41890627422826343, 0.4948296649993401, 0.5734558277441677, 0.651821711516867, 0.7309517196526047, 0.811419640296607, 0.8910818892970268, 0.9708840381033972, 1.0508336639443268, 1.130799963586933, 1.2118932869107737]|[0.01689648081432019, 0.019403258964602835, 0.022542383984464953, 0.025858726493836918, 0.030051180598879703, 0.035173557043472345, 0.04109742820253046, 0.04785413221643757, 0.05550521361391496, 0.06389429837964941, 0.07308694622450071, 0.08308392184942694, 0.09387352842511158, 0.10559955477741258]|[0.04941798786440382, 0.048259699496387885, 0.048353554921470074, 0.04689416032338295, 0.04835355492147008, 0.048259699496387885, 0.049417987864403816, 0.05194573470843584, 0.05392346506172659, 0.056729194478214624, 0.0626389919956728, 0.07056973528097953, 0.08231018201490212, 0.09904109957587727]|[0.06631446867872401, 0.06766295846099071, 0.07089593890593503, 0.07275288681721986, 0.07840473552034978, 0.08343325653986022, 0.09051541606693428, 0.09979986692487341, 0.10942867867564154, 0.12062349285786403, 0.1357259382201735, 0.15365365713040646, 0.17618371044001369, 0.20464065435328985]|1.450449003345663|0.7754062808695319|0.2670830124578417|0.1106902981836879|2500|72640|5.88e-05|1800.0|5.449999999999999|0.65|0.0|0|5.0|0.0|[0.05, 0.4]|[0.25, 0.6]|[20.0, 20.0]|[0.35, 0.35]|0.7|0.25|4.0|1|8|0.053|0.6|9|data/airfoilDAT/sg6043.dat|data/airfoilDAT/naca0008.dat|data/airfoilDAT/naca0009.dat|'8319368945519111667'
4167.866037742715|232.13644777299442|1235.7295899697203|-36.192786918391576|888.5778552834435|1799.9999999999998|5.408601126958264|0.65|0.0|594495.4128440368|[-3.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]|13|10|8|8|[0.048635881350375845, 0.12859879438591276, 0.2118335741959545, 0.2871139703364248, 0.3637831558220176, 0.44234368929325113, 0.5207872422425301, 0.5998156003167125, 0.6799675264743343, 0.7595158091626991, 0.8392164416399669, 0.9190797438883677, 0.9989923259988422, 1.0799229940809139]|[0.014371301880888683, 0.015331221263699067, 0.017021331725410548, 0.019237799445794977, 0.02226533824626947, 0.0261454585734989, 0.030814989554761654, 0.0362961640533457, 0.04263984914843196, 0.04973699311329568, 0.05763438114879724, 0.06633186129684147, 0.07582398736999303, 0.0862297121695326]|[0.04941798786440382, 0.048259699496387885, 0.048353554921470074, 0.04689416032338295, 0.04835355492147008, 0.048259699496387885, 0.049417987864403816, 0.05194573470843584, 0.05392346506172659, 0.056729194478214624, 0.0626389919956728, 0.07056973528097953, 0.08231018201490212, 0.09904109957587727]|[0.06378928974529251, 0.06359092076008695, 0.06537488664688063, 0.06613195976917793, 0.07061889316773955, 0.07440515806988679, 0.08023297741916546, 0.08824189876178154, 0.09656331421015855, 0.1064661875915103, 0.12027337314447004, 0.136901596577821, 0.15813416938489516, 0.18527081174540988]|1.3292290372888746|0.652128667321381|0.2432441632573808|0.09726551040787065|2500|72640|5.88e-05|1800.0|5.449999999999999|0.65|0.0|0|5.0|0.0|[0.05, 0.4]|[0.25, 0.6]|[20.0, 20.0]|[0.35, 0.35]|0.7|0.25|4.0|1|8|0.053|0.6|9|data/airfoilDAT/mh122.dat|data/airfoilDAT/naca0008.dat|data/airfoilDAT/naca0009.dat|'5328928025797364704'
